Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Participation,Internet_Access,Extracurricular,Final_Result
3.1,92.0,75.4,8,6.0,5,Yes,No,Fail
5.7,81.1,71.9,6,4.6,2,Yes,No,Pass
6.6,82.1,59.7,5,7.4,4,Yes,Yes,Fail
6.4,73.1,57.9,9,8.4,1,Yes,Yes,Pass
2.8,72.1,67.6,3,6.6,2,Yes,Yes,Fail
3.9,72.8,85.6,4,7.9,1,Yes,No,Fail
5.2,82.7,76.2,10,8.7,10,Yes,Yes,Pass
6.5,72.9,62.4,7,8.4,10,Yes,Yes,Pass
3.5,81.5,79.6,3,8.8,4,Yes,No,Pass
4.1,100.0,30.0,6,7.7,4,Yes,No,Fail
2.3,88.5,85.2,7,6.9,7,Yes,No,Pass
2.1,74.1,41.9,4,4.9,10,Yes,Yes,Fail
6.1,92.4,62.6,4,6.5,9,Yes,No,Pass
7.2,73.1,51.2,5,5.8,9,Yes,Yes,Pass
4.4,53.5,48.6,7,9.4,5,Yes,Yes,Pass
6.5,65.9,85.4,5,6.6,10,Yes,Yes,Pass
5.2,55.6,61.0,3,6.9,1,Yes,Yes,Fail
3.2,73.8,73.2,8,7.5,1,Yes,Yes,Pass
5.2,78.2,67.3,8,6.9,6,No,No,Fail
7.6,98.1,75.2,8,8.8,2,Yes,Yes,Pass
4.4,81.9,69.2,7,6.1,8,Yes,No,Fail
7.6,75.4,48.8,8,7.0,9,Yes,No,Pass
0.5,88.0,82.9,3,5.9,4,Yes,Yes,Fail
6.1,51.5,60.6,5,5.2,5,Yes,No,Fail
4.7,80.8,44.7,7,6.1,8,Yes,Yes,Fail
3.9,87.3,61.6,5,6.8,3,Yes,No,Fail
4.7,60.3,90.5,7,6.3,5,Yes,Yes,Pass
0.5,91.7,80.8,5,6.0,3,Yes,Yes,Fail
4.1,82.1,62.8,4,5.1,10,Yes,Yes,Fail
5.2,73.0,62.8,5,6.7,3,Yes,No,Pass
7.5,85.6,63.2,8,5.0,3,Yes,No,Pass
3.5,100.0,99.2,4,7.7,7,Yes,Yes,Pass
2.9,80.2,73.7,5,6.9,7,Yes,No,Fail
3.5,81.0,74.5,7,5.1,7,Yes,No,Fail
6.3,72.5,83.5,7,6.4,10,Yes,No,Pass
5.2,67.8,71.6,10,5.9,8,Yes,No,Pass
3.4,88.0,64.1,7,7.2,5,Yes,No,Fail
5.5,67.7,65.1,6,8.4,5,Yes,No,Fail
4.7,78.9,66.9,3,4.5,4,Yes,No,Fail
6.4,72.3,67.4,7,6.9,7,Yes,Yes,Pass
3.1,83.7,78.9,4,6.6,10,Yes,Yes,Pass
3.8,82.0,68.8,10,7.6,4,Yes,Yes,Pass
3.7,90.5,79.0,7,7.1,2,No,No,Pass
1.6,71.9,66.8,6,5.9,4,Yes,No,Fail
5.1,74.8,69.2,8,6.4,8,Yes,Yes,Pass
5.0,66.3,38.0,4,5.8,9,Yes,No,Fail
4.5,72.7,81.7,6,8.1,3,Yes,No,Pass
4.0,82.5,73.2,8,6.8,7,No,Yes,Pass
1.7,87.1,83.0,9,9.1,9,Yes,No,Pass
3.7,66.9,30.0,9,6.7,4,Yes,Yes,Fail
3.8,88.4,99.3,4,5.9,10,Yes,Yes,Pass
2.9,94.3,65.9,5,5.0,3,Yes,No,Fail
4.2,83.0,84.6,3,4.6,5,Yes,No,Pass
5.3,100.0,52.4,10,4.9,1,No,Yes,Fail
8.3,68.7,77.2,3,7.1,3,Yes,No,Pass
4.8,63.1,52.2,6,7.4,8,Yes,No,Fail
5.0,56.7,58.6,8,4.9,8,Yes,Yes,Fail
4.4,96.0,96.7,3,7.9,4,Yes,Yes,Pass
0.7,85.9,65.1,8,6.2,2,Yes,No,Fail
4.4,77.3,71.3,8,7.0,8,Yes,Yes,Pass
4.6,81.4,81.1,6,8.7,8,No,No,Pass
9.4,64.5,75.4,6,7.9,10,Yes,No,Pass
4.1,100.0,70.3,6,6.5,4,Yes,No,Pass
5.1,79.6,73.5,3,5.7,3,Yes,Yes,Fail
4.4,79.3,100.0,9,4.2,2,Yes,No,Pass
2.2,86.7,67.1,6,5.9,9,Yes,Yes,Pass
6.8,83.8,71.0,10,6.5,1,Yes,Yes,Pass
6.0,80.7,83.8,3,5.6,7,Yes,Yes,Pass
6.1,68.5,84.6,6,6.6,5,Yes,Yes,Pass
2.7,83.7,85.8,7,6.9,8,Yes,No,Pass
7.3,100.0,77.6,8,6.5,4,Yes,No,Pass
1.7,94.1,50.9,10,6.0,7,Yes,Yes,Fail
5.7,97.1,92.5,6,7.0,5,Yes,No,Pass
8.9,71.9,50.8,4,7.3,5,Yes,Yes,Pass
2.5,66.1,72.5,8,5.5,9,Yes,No,Pass
3.4,76.5,56.7,8,8.5,9,Yes,Yes,Fail
4.7,78.7,67.0,6,6.7,9,Yes,No,Pass
3.5,91.1,72.9,9,6.8,6,Yes,No,Pass
1.4,57.7,72.8,5,7.6,6,Yes,No,Fail
4.6,96.4,74.3,9,7.1,5,Yes,Yes,Pass
2.4,76.1,92.2,6,7.9,9,Yes,Yes,Fail
5.4,72.9,74.8,8,7.1,10,Yes,No,Pass
2.7,65.9,64.3,10,6.1,8,Yes,Yes,Fail
7.6,58.1,82.5,4,7.2,7,Yes,Yes,Pass
2.9,87.9,85.8,10,5.4,7,Yes,Yes,Pass
3.9,78.9,49.6,10,6.9,6,Yes,No,Fail
6.1,62.5,77.0,8,6.8,5,Yes,No,Pass
2.0,62.5,78.5,9,6.6,4,Yes,No,Pass
5.0,74.0,63.5,4,6.6,3,Yes,Yes,Pass
7.1,98.0,88.6,3,4.5,3,Yes,Yes,Pass
1.3,74.9,65.7,7,6.1,6,Yes,No,Fail
4.9,60.0,69.9,8,6.9,4,Yes,No,Fail
5.0,75.1,65.4,6,7.0,6,Yes,Yes,Fail
6.1,74.7,68.2,3,5.6,3,No,No,Fail
2.0,45.6,51.6,7,8.3,4,Yes,Yes,Fail
1.9,77.3,46.4,6,5.8,9,No,No,Fail
5.5,75.2,91.9,10,8.0,5,Yes,Yes,Pass
5.1,86.4,55.3,5,7.3,7,Yes,No,Fail
5.0,100.0,53.1,6,6.0,10,Yes,No,Pass
5.2,91.5,35.7,4,8.9,2,No,No,Fail
3.1,74.8,58.4,4,5.4,5,Yes,Yes,Fail
5.0,64.7,48.2,5,7.9,9,Yes,No,Fail
5.1,100.0,92.6,3,8.0,3,Yes,Yes,Pass
3.1,78.7,83.1,7,6.0,9,Yes,Yes,Pass
8.2,78.2,57.7,6,8.5,6,Yes,No,Pass
5.4,77.7,100.0,4,6.5,4,Yes,No,Pass
2.1,80.4,82.7,3,7.1,7,Yes,No,Fail
5.8,76.3,63.1,5,7.1,8,Yes,No,Pass
2.6,71.1,30.5,9,6.6,6,Yes,Yes,Fail
6.1,71.4,100.0,8,7.8,5,Yes,Yes,Pass
6.8,77.6,47.2,9,7.8,6,Yes,Yes,Pass
2.9,71.5,43.3,9,4.7,5,No,No,Fail
6.4,69.4,83.3,4,8.4,8,Yes,No,Pass
5.3,79.3,100.0,10,4.8,1,Yes,No,Pass
6.1,74.9,88.8,10,8.0,7,Yes,Yes,Pass
8.3,96.0,76.5,5,8.2,10,Yes,Yes,Pass
4.0,46.2,76.9,6,5.5,10,Yes,No,Fail
3.0,91.1,80.8,10,6.3,2,Yes,Yes,Pass
2.7,93.0,79.4,9,5.5,9,Yes,No,Fail
2.9,53.1,72.2,10,6.5,1,Yes,No,Fail
4.3,73.9,69.6,9,6.4,10,Yes,No,Pass
5.2,73.5,67.1,7,7.7,6,Yes,Yes,Pass
5.1,61.1,56.7,4,8.4,9,Yes,Yes,Fail
6.2,68.7,63.8,4,8.5,1,No,Yes,Fail
4.5,64.7,42.6,6,6.1,4,Yes,Yes,Fail
7.4,99.0,66.5,10,6.5,4,Yes,Yes,Pass
4.0,89.2,53.2,10,4.8,9,Yes,No,Fail
9.9,93.3,51.4,8,5.8,5,Yes,No,Pass
5.8,86.7,70.7,3,8.0,5,Yes,Yes,Fail
2.8,64.5,88.9,7,8.7,6,Yes,Yes,Pass
2.4,71.7,81.8,4,5.3,1,Yes,Yes,Fail
5.5,83.9,44.4,7,6.1,1,Yes,Yes,Fail
4.1,63.3,53.2,4,6.8,9,Yes,No,Fail
5.9,86.6,82.1,7,7.1,3,Yes,Yes,Pass
5.4,75.1,53.3,5,5.8,4,Yes,Yes,Fail
4.4,73.5,64.6,9,7.3,1,Yes,Yes,Fail
2.8,86.5,76.3,4,6.2,9,Yes,No,Pass
1.5,83.3,53.5,7,6.8,8,Yes,No,Fail
3.6,73.7,69.6,10,7.5,2,Yes,Yes,Fail
6.2,91.9,48.0,3,6.8,8,Yes,No,Pass
4.9,65.0,59.0,5,6.3,7,Yes,No,Fail
2.0,85.4,72.8,5,6.7,6,Yes,No,Fail
4.8,85.1,44.1,3,6.7,1,Yes,Yes,Fail
5.3,74.3,74.6,7,6.4,7,Yes,No,Pass
2.7,81.9,67.7,10,6.5,10,Yes,No,Fail
4.8,63.0,76.3,6,8.7,7,Yes,No,Pass
4.6,89.1,71.4,3,7.5,9,Yes,No,Fail
2.2,75.8,88.5,7,6.4,1,Yes,No,Fail
5.2,71.7,69.9,3,7.6,2,Yes,Yes,Fail
5.6,90.6,61.6,3,6.4,9,Yes,No,Pass
6.7,69.5,69.8,4,8.2,9,No,No,Pass
6.6,61.1,76.1,7,7.2,6,No,No,Pass
1.7,59.3,68.7,6,6.7,6,Yes,Yes,Fail
2.6,85.3,68.6,9,7.3,4,No,No,Fail
5.5,62.6,57.5,4,4.9,4,No,No,Fail
5.5,99.1,58.1,3,5.4,5,Yes,Yes,Pass
5.5,53.0,47.0,9,5.4,3,Yes,No,Fail
10.0,98.4,94.2,8,7.0,1,Yes,No,Pass
5.6,80.5,49.3,9,8.9,1,Yes,No,Fail
6.8,76.8,57.6,3,9.5,7,Yes,Yes,Pass
6.4,71.5,57.2,3,7.6,1,Yes,Yes,Fail
5.8,82.8,81.4,10,7.4,1,No,No,Pass
3.9,77.5,63.6,7,4.6,3,Yes,Yes,Fail
6.0,91.2,86.7,7,6.1,10,Yes,No,Pass
3.0,79.4,57.9,4,5.9,4,Yes,No,Fail
4.0,79.8,72.2,6,6.1,4,Yes,No,Fail
3.5,73.6,55.5,4,6.6,2,No,Yes,Fail
4.7,77.3,100.0,5,6.2,1,Yes,No,Pass
9.1,81.7,50.2,3,4.4,3,Yes,Yes,Pass
0.8,57.5,72.6,9,7.7,4,Yes,Yes,Fail
5.9,61.8,77.5,8,5.5,3,Yes,Yes,Fail
1.3,86.9,74.2,3,7.1,8,Yes,Yes,Fail
3.6,80.1,65.2,3,9.3,10,Yes,No,Pass
6.7,75.8,66.1,4,5.7,1,Yes,No,Fail
4.6,78.2,68.7,8,4.0,2,Yes,Yes,Fail
2.3,82.2,65.8,8,6.5,7,Yes,No,Fail
3.1,71.5,82.5,8,8.1,4,Yes,Yes,Pass
5.9,68.7,100.0,4,9.2,8,Yes,No,Pass
3.0,80.4,59.6,3,5.3,3,Yes,No,Fail
4.9,66.3,47.5,4,7.4,6,Yes,No,Fail
4.6,82.9,66.7,7,6.2,9,Yes,Yes,Pass
3.2,57.6,100.0,7,6.7,1,Yes,No,Fail
8.8,90.3,55.9,4,10.0,1,Yes,Yes,Pass
5.8,83.7,92.6,8,5.0,8,Yes,No,Pass
0.5,81.1,93.2,10,7.1,3,Yes,Yes,Pass
4.9,89.8,59.7,3,7.4,5,Yes,No,Pass
3.2,98.0,76.5,4,8.1,1,Yes,No,Pass
6.2,90.2,92.4,4,6.9,5,Yes,No,Pass
2.9,55.9,62.3,4,7.2,6,Yes,Yes,Fail
4.3,62.6,64.9,10,6.3,8,Yes,No,Pass
5.5,70.5,59.3,10,7.1,3,No,Yes,Fail
6.2,78.3,52.8,5,6.4,3,Yes,No,Fail
2.1,84.2,58.3,7,7.5,10,Yes,Yes,Pass
3.8,69.3,49.6,9,6.4,9,Yes,Yes,Fail
3.6,80.2,68.5,8,7.3,4,Yes,No,Fail
3.2,68.9,56.5,6,6.8,4,Yes,Yes,Fail
8.0,70.7,71.5,10,8.2,7,Yes,Yes,Pass
5.3,61.1,44.7,9,6.7,2,No,Yes,Fail
2.0,66.9,73.0,10,4.7,8,No,Yes,Fail
6.3,61.8,80.5,8,8.3,6,Yes,No,Pass
8.7,66.3,38.1,6,5.7,3,Yes,No,Fail
6.6,90.6,73.6,5,6.0,9,Yes,Yes,Pass
1.5,66.6,86.4,4,6.1,5,No,Yes,Fail
3.5,100.0,49.9,5,8.4,8,No,Yes,Fail
7.0,83.9,93.1,10,4.2,7,Yes,Yes,Pass
3.1,80.2,74.3,5,10.0,8,Yes,No,Pass
5.4,67.7,57.4,9,8.1,7,Yes,No,Pass
6.0,86.4,67.2,3,7.1,3,Yes,Yes,Fail
2.6,71.1,76.4,10,6.7,2,Yes,Yes,Fail
4.4,79.5,69.1,10,7.1,7,Yes,Yes,Pass
0.5,100.0,76.1,9,7.4,3,Yes,No,Pass
2.5,76.8,54.2,7,7.6,3,Yes,No,Fail
4.0,91.8,70.5,6,7.5,2,Yes,Yes,Pass
2.0,69.6,46.8,4,6.9,4,No,Yes,Fail
7.8,77.6,66.3,9,6.6,8,Yes,No,Pass
1.6,99.2,54.4,6,6.6,1,Yes,No,Fail
3.6,70.5,57.0,8,6.6,1,Yes,Yes,Fail
4.8,99.7,86.5,6,8.2,5,Yes,Yes,Pass
7.4,86.5,84.4,8,7.5,5,Yes,Yes,Pass
1.6,71.3,77.1,9,4.0,1,Yes,No,Fail
6.8,85.6,51.6,10,7.6,6,Yes,Yes,Pass
4.5,89.7,63.3,10,7.0,1,Yes,Yes,Pass
2.5,85.5,86.2,7,6.8,5,Yes,No,Pass
5.4,59.2,70.1,9,6.3,9,Yes,Yes,Fail
4.9,69.3,100.0,8,8.1,5,Yes,No,Pass
3.3,75.0,73.9,6,7.9,6,Yes,Yes,Pass
4.6,77.1,70.9,6,5.9,8,Yes,Yes,Pass
3.7,85.4,63.4,8,7.3,1,Yes,No,Fail
4.7,80.1,70.0,5,5.6,2,Yes,Yes,Fail
5.8,62.0,65.7,7,5.1,9,Yes,No,Pass
7.7,82.6,78.6,3,6.0,3,Yes,No,Pass
2.0,85.3,82.4,10,7.8,6,Yes,Yes,Fail
8.8,84.7,56.2,4,7.9,5,Yes,No,Pass
0.6,91.0,48.0,6,7.4,2,Yes,Yes,Fail
4.2,88.0,40.5,4,7.7,7,Yes,No,Fail
5.7,83.5,75.6,3,7.4,4,No,Yes,Pass
5.1,77.2,51.4,9,6.0,1,Yes,No,Pass
3.3,58.1,35.7,4,7.3,4,Yes,Yes,Fail
4.1,83.2,73.8,3,7.8,6,Yes,Yes,Pass
3.5,80.5,100.0,10,7.7,7,Yes,No,Pass
3.3,81.3,67.9,8,8.2,7,Yes,No,Pass
6.2,62.7,80.6,5,7.6,7,Yes,Yes,Pass
5.2,65.0,69.2,10,7.2,3,No,Yes,Fail
3.1,90.6,66.5,6,8.1,6,Yes,No,Pass
6.3,77.5,81.8,3,6.8,8,Yes,No,Pass
5.1,86.2,63.6,4,5.7,4,Yes,Yes,Fail
6.1,78.3,72.0,6,6.6,8,Yes,No,Pass
5.8,78.4,72.8,5,5.9,2,Yes,Yes,Pass
2.8,89.3,58.0,8,6.0,10,Yes,No,Fail
3.4,71.8,82.9,9,6.6,9,Yes,Yes,Pass
6.0,79.2,65.4,6,5.8,9,Yes,Yes,Pass
5.7,72.5,56.7,9,6.4,8,No,No,Pass
4.5,72.8,76.0,3,4.5,10,No,Yes,Fail
4.7,74.3,54.5,5,7.1,10,Yes,No,Fail
7.1,80.7,68.4,4,6.8,1,Yes,Yes,Pass
3.3,72.3,67.9,5,5.8,2,Yes,Yes,Fail
5.6,93.1,84.3,5,7.6,6,No,Yes,Pass
4.1,67.3,75.1,7,7.9,10,Yes,No,Pass
4.1,75.8,67.6,5,4.9,5,Yes,Yes,Pass
6.7,72.7,80.3,5,5.9,9,Yes,No,Pass
6.2,95.4,88.9,10,5.9,5,Yes,No,Pass
6.1,80.4,76.4,6,5.7,2,No,No,Pass
7.1,90.4,68.2,4,7.8,10,Yes,Yes,Pass
4.5,60.2,48.3,10,6.6,4,No,Yes,Fail
5.9,81.2,52.0,10,6.5,9,Yes,Yes,Pass
3.9,88.7,63.4,6,4.4,1,No,Yes,Pass
5.1,79.0,58.9,6,7.6,1,Yes,Yes,Fail
4.2,90.8,65.2,3,5.3,7,Yes,No,Fail
4.7,71.8,68.8,6,6.9,3,Yes,Yes,Fail
5.7,94.9,75.9,7,7.1,10,Yes,Yes,Pass
2.9,100.0,66.9,7,8.4,2,Yes,Yes,Pass
8.7,73.6,75.3,10,5.2,9,No,No,Pass
2.5,72.7,69.0,9,4.0,3,Yes,Yes,Fail
2.1,95.4,38.4,3,7.0,2,Yes,No,Fail
6.8,97.0,53.9,9,9.0,8,No,Yes,Pass
6.1,71.7,65.8,9,8.3,10,Yes,No,Pass
5.7,73.0,49.9,10,7.1,6,Yes,No,Pass
5.8,74.6,77.0,8,6.2,6,Yes,Yes,Pass
4.5,61.9,91.0,10,7.8,10,Yes,Yes,Pass
2.7,67.0,86.3,4,5.6,7,Yes,Yes,Fail
4.7,66.0,64.8,4,7.4,7,Yes,Yes,Fail
3.1,68.8,90.4,6,7.4,6,Yes,No,Fail
6.5,77.6,70.2,6,8.1,4,Yes,No,Pass
4.2,80.8,62.9,8,10.0,9,Yes,No,Pass
2.8,96.6,58.8,6,7.3,6,Yes,No,Fail
3.9,66.0,63.5,4,6.2,4,No,Yes,Fail
5.3,89.8,62.2,9,6.8,3,Yes,Yes,Pass
3.4,75.4,70.6,10,4.7,4,No,No,Fail
2.9,77.4,70.4,5,6.0,3,Yes,Yes,Fail
5.0,86.1,68.0,7,6.3,2,Yes,No,Pass
5.0,64.5,74.6,5,6.2,5,Yes,Yes,Fail
3.5,82.6,85.9,5,7.0,2,Yes,Yes,Pass
3.6,80.0,82.2,4,5.8,6,Yes,No,Pass
5.0,83.9,45.7,5,8.1,3,Yes,Yes,Fail
1.6,81.5,30.0,10,6.8,6,Yes,No,Fail
1.7,100.0,82.0,8,6.8,10,Yes,No,Pass
3.1,70.3,47.5,3,6.4,9,Yes,No,Fail
4.1,71.6,64.6,6,7.0,1,Yes,No,Fail
5.1,70.5,50.4,3,7.8,6,Yes,No,Fail
7.5,71.3,41.0,9,5.8,9,Yes,No,Pass
6.2,70.4,76.1,10,6.0,4,Yes,Yes,Pass
4.2,92.3,79.4,10,6.4,2,Yes,No,Pass
4.5,95.0,59.4,7,5.2,4,Yes,No,Fail
2.5,71.2,30.0,10,5.8,1,Yes,Yes,Fail
4.5,68.0,59.8,6,6.2,3,Yes,Yes,Pass
3.9,83.7,73.9,10,7.8,10,Yes,Yes,Pass
5.1,71.4,45.8,5,7.1,9,Yes,No,Fail
2.8,85.6,70.8,7,7.0,10,Yes,No,Pass
5.5,80.4,67.8,6,7.8,5,Yes,Yes,Pass
7.6,59.8,76.7,8,6.6,6,Yes,No,Pass
4.3,96.6,69.8,8,7.3,3,Yes,No,Pass
5.3,99.6,53.4,8,6.7,5,Yes,No,Pass
5.9,70.6,85.9,8,7.1,8,Yes,No,Pass
3.7,73.3,65.6,5,6.1,6,Yes,No,Fail
4.9,81.4,67.6,10,4.0,4,Yes,Yes,Pass
4.5,82.0,54.0,3,6.6,2,Yes,No,Fail
4.7,85.9,61.4,6,8.5,9,Yes,Yes,Pass
3.0,100.0,54.7,5,7.9,1,Yes,No,Fail
4.5,75.9,65.4,8,8.0,1,Yes,No,Fail
5.5,68.4,93.7,9,8.3,4,Yes,Yes,Pass
7.4,61.4,47.4,10,6.9,7,Yes,Yes,Fail
6.4,69.2,43.8,3,7.0,1,Yes,No,Fail
8.8,77.6,90.1,9,6.1,9,Yes,Yes,Pass
3.0,99.5,64.9,7,6.4,4,Yes,No,Pass
6.2,71.8,58.0,9,7.5,3,Yes,Yes,Fail
4.9,80.7,83.6,7,8.2,1,Yes,Yes,Pass
8.9,77.8,58.9,7,6.6,10,Yes,No,Pass
2.9,92.3,95.4,8,6.3,4,Yes,No,Pass
2.8,100.0,78.2,7,6.8,9,Yes,No,Pass
3.3,71.6,60.7,4,7.5,10,Yes,Yes,Fail
0.5,72.1,100.0,6,5.1,6,Yes,No,Fail
3.4,90.5,58.9,6,4.0,6,Yes,No,Pass
3.0,86.2,79.1,8,6.1,1,No,No,Fail
4.8,100.0,72.5,4,5.3,10,No,No,Pass
5.2,85.0,87.5,9,6.2,2,Yes,No,Pass
8.3,73.7,91.4,5,6.6,6,Yes,Yes,Pass
6.4,85.1,68.5,9,6.3,2,Yes,Yes,Pass
3.3,91.3,56.7,10,8.5,3,Yes,No,Fail
2.7,87.8,74.9,5,7.2,4,Yes,Yes,Pass
5.5,84.1,57.8,7,7.2,5,Yes,No,Pass
1.9,90.8,98.2,3,7.5,9,Yes,Yes,Pass
8.2,92.0,70.0,5,5.4,4,Yes,No,Pass
6.9,94.6,62.5,3,8.0,9,Yes,No,Pass
3.6,85.8,70.8,6,6.7,10,Yes,Yes,Pass
1.1,76.0,47.8,3,7.6,3,Yes,Yes,Fail
7.2,79.8,53.4,6,5.5,8,Yes,Yes,Pass
4.3,92.5,86.0,4,4.9,1,Yes,No,Pass
7.0,68.2,58.1,4,7.8,9,Yes,No,Pass
1.3,82.4,52.3,8,7.3,9,Yes,Yes,Fail
3.3,73.3,76.0,8,5.7,10,No,No,Pass
4.5,78.3,85.8,7,5.8,2,Yes,Yes,Fail
4.6,93.3,78.8,5,8.2,4,Yes,No,Pass
3.6,80.3,82.9,7,5.4,8,Yes,No,Fail
5.7,78.6,56.6,6,8.8,7,Yes,Yes,Pass
2.4,61.7,46.7,7,5.7,1,Yes,No,Fail
4.2,87.0,90.5,3,7.6,5,Yes,Yes,Pass
4.7,85.7,63.2,6,6.4,7,Yes,Yes,Fail
5.5,100.0,64.2,8,7.5,4,Yes,Yes,Pass
5.9,74.3,87.9,4,6.1,1,Yes,Yes,Pass
2.3,80.6,76.3,8,6.6,9,Yes,No,Fail
1.4,81.0,74.8,5,6.8,5,Yes,Yes,Fail
7.1,96.9,100.0,6,5.6,2,Yes,No,Pass
5.2,76.9,58.3,6,7.7,8,Yes,Yes,Pass
3.0,81.3,81.9,3,6.2,2,Yes,Yes,Fail
7.6,85.3,68.9,5,6.5,3,Yes,No,Pass
4.7,80.2,72.0,4,5.6,10,Yes,No,Pass
6.9,72.6,90.9,9,4.0,1,Yes,Yes,Pass
4.6,80.3,75.6,6,6.6,2,No,No,Pass
8.6,90.9,76.1,6,9.7,7,No,No,Pass
8.0,65.7,84.1,3,7.7,10,Yes,No,Pass
4.0,79.6,62.5,7,6.8,2,Yes,No,Fail
6.4,69.6,55.4,10,6.5,6,Yes,Yes,Pass
5.8,92.3,52.3,4,6.8,3,Yes,Yes,Pass
7.2,59.7,38.5,8,7.5,4,Yes,No,Fail
2.6,71.3,98.8,5,5.4,8,Yes,Yes,Pass
5.9,82.5,51.5,6,8.1,3,Yes,No,Fail
6.6,96.8,64.7,6,7.7,10,Yes,Yes,Pass
1.0,77.2,63.8,8,7.7,6,Yes,Yes,Fail
2.1,71.3,72.6,4,7.3,1,Yes,No,Fail
0.5,100.0,80.2,10,6.8,7,Yes,Yes,Pass
4.0,60.6,80.9,7,7.6,8,Yes,No,Pass
5.9,51.6,59.3,6,7.5,8,Yes,No,Pass
7.5,83.3,65.5,10,6.4,3,Yes,No,Pass
4.6,72.0,72.2,4,6.1,10,Yes,No,Pass
7.8,65.7,64.3,8,6.9,1,Yes,No,Pass
1.7,86.5,92.1,3,8.7,9,Yes,No,Pass
1.1,80.9,75.4,7,5.3,6,Yes,No,Fail
4.4,71.2,79.0,5,5.0,9,Yes,Yes,Fail
5.3,62.6,77.9,6,7.0,7,Yes,Yes,Fail
4.4,88.5,85.6,4,6.9,1,Yes,Yes,Fail
0.5,85.8,70.7,3,7.0,1,Yes,Yes,Fail
4.3,76.8,48.5,5,7.1,6,Yes,No,Fail
1.9,100.0,74.0,9,6.5,5,Yes,No,Pass
5.8,65.2,58.2,4,8.6,9,Yes,No,Fail
5.2,59.7,60.1,4,4.9,2,Yes,Yes,Fail
2.6,69.7,76.8,5,5.8,8,No,No,Fail
3.5,77.5,86.6,3,6.7,5,Yes,Yes,Pass
2.4,80.9,68.3,9,4.8,2,Yes,No,Fail
4.4,75.1,72.6,10,6.6,10,Yes,No,Pass
